seed: 1024
device: cuda:0
data_path: ./data/
dataset: Beauty
num_workers: 4
id_type: tiger
in_dims: [4096, 2048, 1024, 512, 256, 128, 64, 32]
codebook_dim: 32
codebook_sizes: [256, 256, 256, 256]
rqvae_dropout: 0
sinkhorn_open: True
sinkhorn_epsilons: [0.0, 0.0, 0.0, 0.003]
sinkhorn_iter: 50
kmeans_init_iter: 10
kmeans_cluster: 10
mu: 0.25
alpha: 0.02
beta: 0.0001
rqvae_epochs: 20000
rqvae_batch_size: 1024
rqvae_lr: 0.001
rqvae_wd: 0.0001
rqvae_optimizer: adamw
rqvae_eval_step: 2000
rqvae_eval_metric: unique_key_ratio
t54rec_config_dir_path: ./extra_config/tiger
rqvae_select_position: last
t54rec_epochs: 200
t54rec_train_batch_size: 256
t54rec_valid_batch_size: 64
t54rec_test_batch_size: 64
max_len: 20
t54rec_lr: 0.0005
t54rec_wd: 0.01
t54rec_optimizer: adamw
scheduler_type: cosine
warmup_ratio: 0.01
t54rec_eval_step: 1
t54rec_early_stop_step: 20
t54rec_eval_metric: loss
beam_size: 20
metrics: ['Recall', 'NDCG']
Step [420/514] - Avg Loss: 1.5356, Current lr: 0.0004230440
Step [430/514] - Avg Loss: 1.5355, Current lr: 0.0004229883
Step [440/514] - Avg Loss: 1.5359, Current lr: 0.0004229326
Step [450/514] - Avg Loss: 1.5356, Current lr: 0.0004228769
Step [460/514] - Avg Loss: 1.5356, Current lr: 0.0004228211
Step [470/514] - Avg Loss: 1.5362, Current lr: 0.0004227653
Step [480/514] - Avg Loss: 1.5366, Current lr: 0.0004227096
Step [490/514] - Avg Loss: 1.5371, Current lr: 0.0004226538
Step [500/514] - Avg Loss: 1.5374, Current lr: 0.0004225979
Step [510/514] - Avg Loss: 1.5379, Current lr: 0.0004225421
Epoch [53] - Avg Loss: 1.5380
Epoch [53] - Start Eval
Eval - Avg Loss: 1.7570
Patience: 1/20
Epoch [54] - Start Training
Step [10/514] - Avg Loss: 1.5179, Current lr: 0.0004224639
Step [20/514] - Avg Loss: 1.5121, Current lr: 0.0004224080
Step [30/514] - Avg Loss: 1.5170, Current lr: 0.0004223521
Step [40/514] - Avg Loss: 1.5150, Current lr: 0.0004222962
Step [50/514] - Avg Loss: 1.5132, Current lr: 0.0004222403
Step [60/514] - Avg Loss: 1.5132, Current lr: 0.0004221843
Step [70/514] - Avg Loss: 1.5110, Current lr: 0.0004221284
Step [80/514] - Avg Loss: 1.5129, Current lr: 0.0004220724
Step [90/514] - Avg Loss: 1.5138, Current lr: 0.0004220164
Step [100/514] - Avg Loss: 1.5153, Current lr: 0.0004219604
Step [110/514] - Avg Loss: 1.5167, Current lr: 0.0004219044
Step [120/514] - Avg Loss: 1.5184, Current lr: 0.0004218483
Step [130/514] - Avg Loss: 1.5196, Current lr: 0.0004217923
Step [140/514] - Avg Loss: 1.5193, Current lr: 0.0004217362
Step [150/514] - Avg Loss: 1.5173, Current lr: 0.0004216801
Step [160/514] - Avg Loss: 1.5193, Current lr: 0.0004216240
Step [170/514] - Avg Loss: 1.5200, Current lr: 0.0004215679
Step [180/514] - Avg Loss: 1.5203, Current lr: 0.0004215118
Step [190/514] - Avg Loss: 1.5189, Current lr: 0.0004214556
Step [200/514] - Avg Loss: 1.5202, Current lr: 0.0004213994
Step [210/514] - Avg Loss: 1.5211, Current lr: 0.0004213432
Step [220/514] - Avg Loss: 1.5205, Current lr: 0.0004212870
Step [230/514] - Avg Loss: 1.5215, Current lr: 0.0004212308
Step [240/514] - Avg Loss: 1.5216, Current lr: 0.0004211746
Step [250/514] - Avg Loss: 1.5214, Current lr: 0.0004211183
Step [260/514] - Avg Loss: 1.5220, Current lr: 0.0004210621
Step [270/514] - Avg Loss: 1.5223, Current lr: 0.0004210058
Step [280/514] - Avg Loss: 1.5221, Current lr: 0.0004209495
Step [290/514] - Avg Loss: 1.5217, Current lr: 0.0004208931
Step [300/514] - Avg Loss: 1.5220, Current lr: 0.0004208368
Step [310/514] - Avg Loss: 1.5224, Current lr: 0.0004207805
Step [320/514] - Avg Loss: 1.5231, Current lr: 0.0004207241
Step [330/514] - Avg Loss: 1.5236, Current lr: 0.0004206677
Step [340/514] - Avg Loss: 1.5236, Current lr: 0.0004206113
Step [350/514] - Avg Loss: 1.5240, Current lr: 0.0004205549
Step [360/514] - Avg Loss: 1.5243, Current lr: 0.0004204985
Step [370/514] - Avg Loss: 1.5250, Current lr: 0.0004204420
Step [380/514] - Avg Loss: 1.5260, Current lr: 0.0004203855
Step [390/514] - Avg Loss: 1.5263, Current lr: 0.0004203291
Step [400/514] - Avg Loss: 1.5265, Current lr: 0.0004202726
Step [410/514] - Avg Loss: 1.5271, Current lr: 0.0004202161
Step [420/514] - Avg Loss: 1.5278, Current lr: 0.0004201595
Step [430/514] - Avg Loss: 1.5282, Current lr: 0.0004201030
Step [440/514] - Avg Loss: 1.5289, Current lr: 0.0004200464
Step [450/514] - Avg Loss: 1.5290, Current lr: 0.0004199898
Step [460/514] - Avg Loss: 1.5290, Current lr: 0.0004199332
Step [470/514] - Avg Loss: 1.5292, Current lr: 0.0004198766
Step [480/514] - Avg Loss: 1.5296, Current lr: 0.0004198200
Step [490/514] - Avg Loss: 1.5299, Current lr: 0.0004197634
Step [500/514] - Avg Loss: 1.5306, Current lr: 0.0004197067
Step [510/514] - Avg Loss: 1.5306, Current lr: 0.0004196500
Epoch [54] - Avg Loss: 1.5308
Epoch [54] - Start Eval
Eval - Avg Loss: 1.7597
Patience: 2/20
Epoch [55] - Start Training
Step [10/514] - Avg Loss: 1.4910, Current lr: 0.0004195707
Step [20/514] - Avg Loss: 1.4941, Current lr: 0.0004195139
Step [30/514] - Avg Loss: 1.4937, Current lr: 0.0004194572
Step [40/514] - Avg Loss: 1.4961, Current lr: 0.0004194005
Step [50/514] - Avg Loss: 1.4999, Current lr: 0.0004193437
Step [60/514] - Avg Loss: 1.5012, Current lr: 0.0004192869
Step [70/514] - Avg Loss: 1.5041, Current lr: 0.0004192301
Step [80/514] - Avg Loss: 1.5078, Current lr: 0.0004191733
Step [90/514] - Avg Loss: 1.5069, Current lr: 0.0004191165
Step [100/514] - Avg Loss: 1.5091, Current lr: 0.0004190596
Step [110/514] - Avg Loss: 1.5086, Current lr: 0.0004190028
Step [120/514] - Avg Loss: 1.5089, Current lr: 0.0004189459
Step [130/514] - Avg Loss: 1.5086, Current lr: 0.0004188890
Step [140/514] - Avg Loss: 1.5098, Current lr: 0.0004188321
Step [150/514] - Avg Loss: 1.5106, Current lr: 0.0004187752
Step [160/514] - Avg Loss: 1.5117, Current lr: 0.0004187182
Step [170/514] - Avg Loss: 1.5129, Current lr: 0.0004186613
Step [180/514] - Avg Loss: 1.5142, Current lr: 0.0004186043
Step [190/514] - Avg Loss: 1.5144, Current lr: 0.0004185473
Step [200/514] - Avg Loss: 1.5142, Current lr: 0.0004184903
Step [210/514] - Avg Loss: 1.5155, Current lr: 0.0004184333
Step [220/514] - Avg Loss: 1.5153, Current lr: 0.0004183763
Step [230/514] - Avg Loss: 1.5161, Current lr: 0.0004183192
Step [240/514] - Avg Loss: 1.5164, Current lr: 0.0004182621
Step [250/514] - Avg Loss: 1.5169, Current lr: 0.0004182051
Step [260/514] - Avg Loss: 1.5175, Current lr: 0.0004181480
Step [270/514] - Avg Loss: 1.5177, Current lr: 0.0004180908
Step [280/514] - Avg Loss: 1.5181, Current lr: 0.0004180337
Step [290/514] - Avg Loss: 1.5188, Current lr: 0.0004179766
Step [300/514] - Avg Loss: 1.5193, Current lr: 0.0004179194
Step [310/514] - Avg Loss: 1.5194, Current lr: 0.0004178622
Step [320/514] - Avg Loss: 1.5200, Current lr: 0.0004178050
Step [330/514] - Avg Loss: 1.5201, Current lr: 0.0004177478
Step [340/514] - Avg Loss: 1.5202, Current lr: 0.0004176906
Step [350/514] - Avg Loss: 1.5202, Current lr: 0.0004176333
Step [360/514] - Avg Loss: 1.5199, Current lr: 0.0004175761
Step [370/514] - Avg Loss: 1.5204, Current lr: 0.0004175188
Step [380/514] - Avg Loss: 1.5207, Current lr: 0.0004174615
Step [390/514] - Avg Loss: 1.5209, Current lr: 0.0004174042
Step [400/514] - Avg Loss: 1.5216, Current lr: 0.0004173469
Step [410/514] - Avg Loss: 1.5217, Current lr: 0.0004172895
Step [420/514] - Avg Loss: 1.5218, Current lr: 0.0004172322
Step [430/514] - Avg Loss: 1.5220, Current lr: 0.0004171748
Step [440/514] - Avg Loss: 1.5215, Current lr: 0.0004171174
Step [450/514] - Avg Loss: 1.5222, Current lr: 0.0004170600
Step [460/514] - Avg Loss: 1.5222, Current lr: 0.0004170026
Step [470/514] - Avg Loss: 1.5228, Current lr: 0.0004169452
Step [480/514] - Avg Loss: 1.5232, Current lr: 0.0004168877
Step [490/514] - Avg Loss: 1.5232, Current lr: 0.0004168302
Step [500/514] - Avg Loss: 1.5237, Current lr: 0.0004167728
Step [510/514] - Avg Loss: 1.5237, Current lr: 0.0004167153
Epoch [55] - Avg Loss: 1.5238
Epoch [55] - Start Eval
Eval - Avg Loss: 1.7604
Patience: 3/20
Epoch [56] - Start Training
Step [10/514] - Avg Loss: 1.5051, Current lr: 0.0004166347
Step [20/514] - Avg Loss: 1.4930, Current lr: 0.0004165772
Step [30/514] - Avg Loss: 1.4955, Current lr: 0.0004165196
Step [40/514] - Avg Loss: 1.4979, Current lr: 0.0004164621
Step [50/514] - Avg Loss: 1.5007, Current lr: 0.0004164045
Step [60/514] - Avg Loss: 1.5009, Current lr: 0.0004163469
Step [70/514] - Avg Loss: 1.5007, Current lr: 0.0004162893
Step [80/514] - Avg Loss: 1.5027, Current lr: 0.0004162316
Step [90/514] - Avg Loss: 1.5027, Current lr: 0.0004161740
Step [100/514] - Avg Loss: 1.5033, Current lr: 0.0004161163
Step [110/514] - Avg Loss: 1.5050, Current lr: 0.0004160586
Step [120/514] - Avg Loss: 1.5060, Current lr: 0.0004160009
Step [130/514] - Avg Loss: 1.5067, Current lr: 0.0004159432
Step [140/514] - Avg Loss: 1.5076, Current lr: 0.0004158855
Step [150/514] - Avg Loss: 1.5094, Current lr: 0.0004158278
Step [160/514] - Avg Loss: 1.5099, Current lr: 0.0004157700
Step [170/514] - Avg Loss: 1.5109, Current lr: 0.0004157122
Step [180/514] - Avg Loss: 1.5119, Current lr: 0.0004156544
Step [190/514] - Avg Loss: 1.5115, Current lr: 0.0004155966
Step [200/514] - Avg Loss: 1.5131, Current lr: 0.0004155388
Step [210/514] - Avg Loss: 1.5132, Current lr: 0.0004154810
Step [220/514] - Avg Loss: 1.5128, Current lr: 0.0004154231
Step [230/514] - Avg Loss: 1.5126, Current lr: 0.0004153652
Step [240/514] - Avg Loss: 1.5130, Current lr: 0.0004153074
Step [250/514] - Avg Loss: 1.5132, Current lr: 0.0004152495
Step [260/514] - Avg Loss: 1.5126, Current lr: 0.0004151915
Step [270/514] - Avg Loss: 1.5127, Current lr: 0.0004151336
Step [280/514] - Avg Loss: 1.5127, Current lr: 0.0004150757
Step [290/514] - Avg Loss: 1.5125, Current lr: 0.0004150177
Step [300/514] - Avg Loss: 1.5117, Current lr: 0.0004149597
Step [310/514] - Avg Loss: 1.5120, Current lr: 0.0004149017
Step [320/514] - Avg Loss: 1.5124, Current lr: 0.0004148437
Step [330/514] - Avg Loss: 1.5129, Current lr: 0.0004147857
Step [340/514] - Avg Loss: 1.5122, Current lr: 0.0004147276
Step [350/514] - Avg Loss: 1.5127, Current lr: 0.0004146696
Step [360/514] - Avg Loss: 1.5127, Current lr: 0.0004146115
Step [370/514] - Avg Loss: 1.5129, Current lr: 0.0004145534
Step [380/514] - Avg Loss: 1.5135, Current lr: 0.0004144953
Step [390/514] - Avg Loss: 1.5136, Current lr: 0.0004144372
Step [400/514] - Avg Loss: 1.5138, Current lr: 0.0004143791
Step [410/514] - Avg Loss: 1.5136, Current lr: 0.0004143209
Step [420/514] - Avg Loss: 1.5141, Current lr: 0.0004142627
Step [430/514] - Avg Loss: 1.5141, Current lr: 0.0004142045
Step [440/514] - Avg Loss: 1.5147, Current lr: 0.0004141463
Step [450/514] - Avg Loss: 1.5152, Current lr: 0.0004140881
Step [460/514] - Avg Loss: 1.5151, Current lr: 0.0004140299
Step [470/514] - Avg Loss: 1.5153, Current lr: 0.0004139717
Step [480/514] - Avg Loss: 1.5154, Current lr: 0.0004139134
Step [490/514] - Avg Loss: 1.5157, Current lr: 0.0004138551
Step [500/514] - Avg Loss: 1.5161, Current lr: 0.0004137968
Step [510/514] - Avg Loss: 1.5169, Current lr: 0.0004137385
Epoch [56] - Avg Loss: 1.5173
Epoch [56] - Start Eval
Eval - Avg Loss: 1.7593
Patience: 4/20
Epoch [57] - Start Training
Step [10/514] - Avg Loss: 1.4681, Current lr: 0.0004136569
Step [20/514] - Avg Loss: 1.4775, Current lr: 0.0004135985
Step [30/514] - Avg Loss: 1.4785, Current lr: 0.0004135401
Step [40/514] - Avg Loss: 1.4836, Current lr: 0.0004134818
Step [50/514] - Avg Loss: 1.4845, Current lr: 0.0004134234
Step [60/514] - Avg Loss: 1.4885, Current lr: 0.0004133650
Step [70/514] - Avg Loss: 1.4916, Current lr: 0.0004133065
Step [80/514] - Avg Loss: 1.4932, Current lr: 0.0004132481
Step [90/514] - Avg Loss: 1.4943, Current lr: 0.0004131896
Step [100/514] - Avg Loss: 1.4956, Current lr: 0.0004131312
Step [110/514] - Avg Loss: 1.4995, Current lr: 0.0004130727
Step [120/514] - Avg Loss: 1.5005, Current lr: 0.0004130142
Step [130/514] - Avg Loss: 1.4994, Current lr: 0.0004129557
Step [140/514] - Avg Loss: 1.4991, Current lr: 0.0004128971
Step [150/514] - Avg Loss: 1.4995, Current lr: 0.0004128386
Step [160/514] - Avg Loss: 1.4995, Current lr: 0.0004127800
Step [170/514] - Avg Loss: 1.5000, Current lr: 0.0004127214
Step [180/514] - Avg Loss: 1.5004, Current lr: 0.0004126628
Step [190/514] - Avg Loss: 1.5011, Current lr: 0.0004126042
Step [200/514] - Avg Loss: 1.5015, Current lr: 0.0004125456
Step [210/514] - Avg Loss: 1.5024, Current lr: 0.0004124870
Step [220/514] - Avg Loss: 1.5020, Current lr: 0.0004124283
Step [230/514] - Avg Loss: 1.5023, Current lr: 0.0004123696
Step [240/514] - Avg Loss: 1.5022, Current lr: 0.0004123110
Step [250/514] - Avg Loss: 1.5034, Current lr: 0.0004122522
Step [260/514] - Avg Loss: 1.5028, Current lr: 0.0004121935
Step [270/514] - Avg Loss: 1.5028, Current lr: 0.0004121348
Step [280/514] - Avg Loss: 1.5037, Current lr: 0.0004120760
Step [290/514] - Avg Loss: 1.5041, Current lr: 0.0004120173
Step [300/514] - Avg Loss: 1.5046, Current lr: 0.0004119585
Step [310/514] - Avg Loss: 1.5046, Current lr: 0.0004118997
Step [320/514] - Avg Loss: 1.5044, Current lr: 0.0004118409
Step [330/514] - Avg Loss: 1.5048, Current lr: 0.0004117821
Step [340/514] - Avg Loss: 1.5060, Current lr: 0.0004117232
Step [350/514] - Avg Loss: 1.5064, Current lr: 0.0004116644
Step [360/514] - Avg Loss: 1.5062, Current lr: 0.0004116055
Step [370/514] - Avg Loss: 1.5063, Current lr: 0.0004115466
Step [380/514] - Avg Loss: 1.5064, Current lr: 0.0004114877
Step [390/514] - Avg Loss: 1.5070, Current lr: 0.0004114288
Step [400/514] - Avg Loss: 1.5075, Current lr: 0.0004113698
Step [410/514] - Avg Loss: 1.5078, Current lr: 0.0004113109
Step [420/514] - Avg Loss: 1.5082, Current lr: 0.0004112519
Step [430/514] - Avg Loss: 1.5090, Current lr: 0.0004111929
Step [440/514] - Avg Loss: 1.5090, Current lr: 0.0004111340
Step [450/514] - Avg Loss: 1.5090, Current lr: 0.0004110749
Step [460/514] - Avg Loss: 1.5097, Current lr: 0.0004110159
Step [470/514] - Avg Loss: 1.5096, Current lr: 0.0004109569
Step [480/514] - Avg Loss: 1.5101, Current lr: 0.0004108978
Step [490/514] - Avg Loss: 1.5103, Current lr: 0.0004108387
Step [500/514] - Avg Loss: 1.5108, Current lr: 0.0004107797
Step [510/514] - Avg Loss: 1.5113, Current lr: 0.0004107205
Epoch [57] - Avg Loss: 1.5116
Epoch [57] - Start Eval
Eval - Avg Loss: 1.7633
Patience: 5/20
Epoch [58] - Start Training
Step [10/514] - Avg Loss: 1.4839, Current lr: 0.0004106378
Step [20/514] - Avg Loss: 1.4854, Current lr: 0.0004105786
Step [30/514] - Avg Loss: 1.4840, Current lr: 0.0004105195
Step [40/514] - Avg Loss: 1.4844, Current lr: 0.0004104603
Step [50/514] - Avg Loss: 1.4847, Current lr: 0.0004104011
Step [60/514] - Avg Loss: 1.4869, Current lr: 0.0004103419
Step [70/514] - Avg Loss: 1.4863, Current lr: 0.0004102827
Step [80/514] - Avg Loss: 1.4865, Current lr: 0.0004102235
Step [90/514] - Avg Loss: 1.4881, Current lr: 0.0004101642
Step [100/514] - Avg Loss: 1.4884, Current lr: 0.0004101050
Step [110/514] - Avg Loss: 1.4883, Current lr: 0.0004100457
Step [120/514] - Avg Loss: 1.4890, Current lr: 0.0004099864
Step [130/514] - Avg Loss: 1.4900, Current lr: 0.0004099271
Step [140/514] - Avg Loss: 1.4896, Current lr: 0.0004098678
Step [150/514] - Avg Loss: 1.4909, Current lr: 0.0004098084
Step [160/514] - Avg Loss: 1.4906, Current lr: 0.0004097491
Step [170/514] - Avg Loss: 1.4912, Current lr: 0.0004096897
Step [180/514] - Avg Loss: 1.4921, Current lr: 0.0004096303
Step [190/514] - Avg Loss: 1.4930, Current lr: 0.0004095709
Step [200/514] - Avg Loss: 1.4937, Current lr: 0.0004095115
Step [210/514] - Avg Loss: 1.4938, Current lr: 0.0004094521
Step [220/514] - Avg Loss: 1.4940, Current lr: 0.0004093926
Step [230/514] - Avg Loss: 1.4945, Current lr: 0.0004093332
Step [240/514] - Avg Loss: 1.4956, Current lr: 0.0004092737
Step [250/514] - Avg Loss: 1.4959, Current lr: 0.0004092142
Step [260/514] - Avg Loss: 1.4957, Current lr: 0.0004091547
Step [270/514] - Avg Loss: 1.4962, Current lr: 0.0004090952
Step [280/514] - Avg Loss: 1.4961, Current lr: 0.0004090356
Step [290/514] - Avg Loss: 1.4967, Current lr: 0.0004089761
Step [300/514] - Avg Loss: 1.4974, Current lr: 0.0004089165
Step [310/514] - Avg Loss: 1.4981, Current lr: 0.0004088569
Step [320/514] - Avg Loss: 1.4987, Current lr: 0.0004087973
Step [330/514] - Avg Loss: 1.4996, Current lr: 0.0004087377
Step [340/514] - Avg Loss: 1.5002, Current lr: 0.0004086781
Step [350/514] - Avg Loss: 1.5010, Current lr: 0.0004086185
Step [360/514] - Avg Loss: 1.5010, Current lr: 0.0004085588
Step [370/514] - Avg Loss: 1.5016, Current lr: 0.0004084991
Step [380/514] - Avg Loss: 1.5015, Current lr: 0.0004084394
Step [390/514] - Avg Loss: 1.5018, Current lr: 0.0004083797
Step [400/514] - Avg Loss: 1.5018, Current lr: 0.0004083200
Step [410/514] - Avg Loss: 1.5019, Current lr: 0.0004082603
Step [420/514] - Avg Loss: 1.5019, Current lr: 0.0004082005
Step [430/514] - Avg Loss: 1.5022, Current lr: 0.0004081408
Step [440/514] - Avg Loss: 1.5026, Current lr: 0.0004080810
Step [450/514] - Avg Loss: 1.5031, Current lr: 0.0004080212
Step [460/514] - Avg Loss: 1.5034, Current lr: 0.0004079614
Step [470/514] - Avg Loss: 1.5037, Current lr: 0.0004079016
Step [480/514] - Avg Loss: 1.5038, Current lr: 0.0004078417
Step [490/514] - Avg Loss: 1.5041, Current lr: 0.0004077819
Step [500/514] - Avg Loss: 1.5046, Current lr: 0.0004077220
Step [510/514] - Avg Loss: 1.5052, Current lr: 0.0004076621
Epoch [58] - Avg Loss: 1.5052
Epoch [58] - Start Eval
Eval - Avg Loss: 1.7609
Patience: 6/20
Epoch [59] - Start Training
Step [10/514] - Avg Loss: 1.4817, Current lr: 0.0004075783
Step [20/514] - Avg Loss: 1.4747, Current lr: 0.0004075183
Step [30/514] - Avg Loss: 1.4807, Current lr: 0.0004074584
Step [40/514] - Avg Loss: 1.4818, Current lr: 0.0004073985
Step [50/514] - Avg Loss: 1.4806, Current lr: 0.0004073385
Step [60/514] - Avg Loss: 1.4775, Current lr: 0.0004072785
Step [70/514] - Avg Loss: 1.4762, Current lr: 0.0004072185
Step [80/514] - Avg Loss: 1.4792, Current lr: 0.0004071585
Step [90/514] - Avg Loss: 1.4789, Current lr: 0.0004070985
Step [100/514] - Avg Loss: 1.4781, Current lr: 0.0004070384
Step [110/514] - Avg Loss: 1.4792, Current lr: 0.0004069784
Step [120/514] - Avg Loss: 1.4810, Current lr: 0.0004069183
Step [130/514] - Avg Loss: 1.4824, Current lr: 0.0004068582
Step [140/514] - Avg Loss: 1.4837, Current lr: 0.0004067981
Step [150/514] - Avg Loss: 1.4856, Current lr: 0.0004067380
Step [160/514] - Avg Loss: 1.4861, Current lr: 0.0004066779
Step [170/514] - Avg Loss: 1.4866, Current lr: 0.0004066178
Step [180/514] - Avg Loss: 1.4875, Current lr: 0.0004065576
Step [190/514] - Avg Loss: 1.4882, Current lr: 0.0004064974
Step [200/514] - Avg Loss: 1.4892, Current lr: 0.0004064372
Step [210/514] - Avg Loss: 1.4892, Current lr: 0.0004063770
Step [220/514] - Avg Loss: 1.4904, Current lr: 0.0004063168
Step [230/514] - Avg Loss: 1.4906, Current lr: 0.0004062566
Step [240/514] - Avg Loss: 1.4909, Current lr: 0.0004061963
Step [250/514] - Avg Loss: 1.4914, Current lr: 0.0004061361
Step [260/514] - Avg Loss: 1.4914, Current lr: 0.0004060758
Step [270/514] - Avg Loss: 1.4915, Current lr: 0.0004060155
Step [280/514] - Avg Loss: 1.4916, Current lr: 0.0004059552
Step [290/514] - Avg Loss: 1.4921, Current lr: 0.0004058949
Step [300/514] - Avg Loss: 1.4929, Current lr: 0.0004058345
Step [310/514] - Avg Loss: 1.4929, Current lr: 0.0004057742
Step [320/514] - Avg Loss: 1.4938, Current lr: 0.0004057138
Step [330/514] - Avg Loss: 1.4937, Current lr: 0.0004056534
Step [340/514] - Avg Loss: 1.4947, Current lr: 0.0004055930
Step [350/514] - Avg Loss: 1.4952, Current lr: 0.0004055326
Step [360/514] - Avg Loss: 1.4958, Current lr: 0.0004054722
Step [370/514] - Avg Loss: 1.4959, Current lr: 0.0004054117
Step [380/514] - Avg Loss: 1.4958, Current lr: 0.0004053513
Step [390/514] - Avg Loss: 1.4960, Current lr: 0.0004052908
Step [400/514] - Avg Loss: 1.4966, Current lr: 0.0004052303
Step [410/514] - Avg Loss: 1.4967, Current lr: 0.0004051698
Step [420/514] - Avg Loss: 1.4979, Current lr: 0.0004051093
Step [430/514] - Avg Loss: 1.4980, Current lr: 0.0004050488
Step [440/514] - Avg Loss: 1.4984, Current lr: 0.0004049882
Step [450/514] - Avg Loss: 1.4987, Current lr: 0.0004049277
Step [460/514] - Avg Loss: 1.4993, Current lr: 0.0004048671
Step [470/514] - Avg Loss: 1.4997, Current lr: 0.0004048065
Step [480/514] - Avg Loss: 1.4997, Current lr: 0.0004047459
Step [490/514] - Avg Loss: 1.4999, Current lr: 0.0004046853
Step [500/514] - Avg Loss: 1.5001, Current lr: 0.0004046247
Step [510/514] - Avg Loss: 1.5001, Current lr: 0.0004045640
Epoch [59] - Avg Loss: 1.5004
Epoch [59] - Start Eval
Eval - Avg Loss: 1.7637
Patience: 7/20
Epoch [60] - Start Training
Step [10/514] - Avg Loss: 1.4399, Current lr: 0.0004044791
Step [20/514] - Avg Loss: 1.4476, Current lr: 0.0004044184
Step [30/514] - Avg Loss: 1.4483, Current lr: 0.0004043577
Step [40/514] - Avg Loss: 1.4560, Current lr: 0.0004042970
Step [50/514] - Avg Loss: 1.4559, Current lr: 0.0004042363
Step [60/514] - Avg Loss: 1.4573, Current lr: 0.0004041755
Step [70/514] - Avg Loss: 1.4615, Current lr: 0.0004041148
Step [80/514] - Avg Loss: 1.4630, Current lr: 0.0004040540
Step [90/514] - Avg Loss: 1.4642, Current lr: 0.0004039932
Step [100/514] - Avg Loss: 1.4656, Current lr: 0.0004039324
Step [110/514] - Avg Loss: 1.4676, Current lr: 0.0004038716
Step [120/514] - Avg Loss: 1.4681, Current lr: 0.0004038107
Step [130/514] - Avg Loss: 1.4713, Current lr: 0.0004037499
Step [140/514] - Avg Loss: 1.4744, Current lr: 0.0004036890
Step [150/514] - Avg Loss: 1.4760, Current lr: 0.0004036282
Step [160/514] - Avg Loss: 1.4765, Current lr: 0.0004035673
Step [170/514] - Avg Loss: 1.4779, Current lr: 0.0004035064
Step [180/514] - Avg Loss: 1.4786, Current lr: 0.0004034455
Step [190/514] - Avg Loss: 1.4795, Current lr: 0.0004033845
Step [200/514] - Avg Loss: 1.4807, Current lr: 0.0004033236
Step [210/514] - Avg Loss: 1.4819, Current lr: 0.0004032626
Step [220/514] - Avg Loss: 1.4819, Current lr: 0.0004032016
Step [230/514] - Avg Loss: 1.4816, Current lr: 0.0004031406
Step [240/514] - Avg Loss: 1.4817, Current lr: 0.0004030796
Step [250/514] - Avg Loss: 1.4828, Current lr: 0.0004030186
Step [260/514] - Avg Loss: 1.4826, Current lr: 0.0004029576
Step [270/514] - Avg Loss: 1.4829, Current lr: 0.0004028965
Step [280/514] - Avg Loss: 1.4826, Current lr: 0.0004028355
Step [290/514] - Avg Loss: 1.4827, Current lr: 0.0004027744
Step [300/514] - Avg Loss: 1.4830, Current lr: 0.0004027133
Step [310/514] - Avg Loss: 1.4840, Current lr: 0.0004026522
Step [320/514] - Avg Loss: 1.4847, Current lr: 0.0004025911
Step [330/514] - Avg Loss: 1.4856, Current lr: 0.0004025299
Step [340/514] - Avg Loss: 1.4865, Current lr: 0.0004024688
Step [350/514] - Avg Loss: 1.4867, Current lr: 0.0004024076
Step [360/514] - Avg Loss: 1.4870, Current lr: 0.0004023464
Step [370/514] - Avg Loss: 1.4875, Current lr: 0.0004022852
Step [380/514] - Avg Loss: 1.4878, Current lr: 0.0004022240
Step [390/514] - Avg Loss: 1.4882, Current lr: 0.0004021628
Step [400/514] - Avg Loss: 1.4890, Current lr: 0.0004021016
Step [410/514] - Avg Loss: 1.4896, Current lr: 0.0004020403
Step [420/514] - Avg Loss: 1.4904, Current lr: 0.0004019790
Step [430/514] - Avg Loss: 1.4908, Current lr: 0.0004019178
Step [440/514] - Avg Loss: 1.4912, Current lr: 0.0004018565
Step [450/514] - Avg Loss: 1.4914, Current lr: 0.0004017952
Step [460/514] - Avg Loss: 1.4919, Current lr: 0.0004017338
Step [470/514] - Avg Loss: 1.4924, Current lr: 0.0004016725
Step [480/514] - Avg Loss: 1.4927, Current lr: 0.0004016111
Step [490/514] - Avg Loss: 1.4933, Current lr: 0.0004015498
Step [500/514] - Avg Loss: 1.4938, Current lr: 0.0004014884
Step [510/514] - Avg Loss: 1.4939, Current lr: 0.0004014270
Epoch [60] - Avg Loss: 1.4941
Epoch [60] - Start Eval
Eval - Avg Loss: 1.7665
Patience: 8/20
Epoch [61] - Start Training
Step [10/514] - Avg Loss: 1.4808, Current lr: 0.0004013410
Step [20/514] - Avg Loss: 1.4623, Current lr: 0.0004012796
Step [30/514] - Avg Loss: 1.4667, Current lr: 0.0004012181
Step [40/514] - Avg Loss: 1.4684, Current lr: 0.0004011567
Step [50/514] - Avg Loss: 1.4715, Current lr: 0.0004010952
Step [60/514] - Avg Loss: 1.4714, Current lr: 0.0004010337
Step [70/514] - Avg Loss: 1.4693, Current lr: 0.0004009722
Step [80/514] - Avg Loss: 1.4701, Current lr: 0.0004009107
Step [90/514] - Avg Loss: 1.4696, Current lr: 0.0004008491
Step [100/514] - Avg Loss: 1.4698, Current lr: 0.0004007876
